127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000609
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000645
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000620
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000638
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.037458
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000628
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000563
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000601
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.000287
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000613
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000718
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.001208
127.0.0.1, 2016-03-20 23:41:28, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.001930
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.052770
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001774
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003996
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000788
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.004164
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.005039
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000589
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.001138
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000674
127.0.0.1, 2016-03-20 23:41:29, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.033191
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001406
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000839
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000515
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000571
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.003814
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.008385
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000583
